"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"325";"MO17";"date 1";"7B";45;"13";52,1453901790591
"326";"MO17";"date 1";"6B";35;"13";52,4100786717243
"327";"MO17";"date 1";"5A";28;"13";53,6093291561569
"328";"MO17";"date 1";"8B";56;"13";50,9327122661443
"329";"MO17";"date 1";"3";14;"13";51,0154174897852
"330";"MO17";"date 1";"6A";35;"13";52,1478270573768
"331";"MO17";"date 1";"8A";56;"13";47,665169276995
"332";"MO17";"date 1";"2";4;"13";53,9002168460438
"333";"MO17";"date 1";"1";0;"13";53,7224136958921
"334";"MO17";"date 1";"4";21;"13";51,2960239022437
"335";"MO17";"date 1";"5B";28;"13";51,7852587710562
"336";"MO17";"date 1";"7A";45;"13";51,3870270890415
"337";"MO17";"date 2";"7B";45;"27";46,730950522747
"338";"MO17";"date 2";"6B";35;"27";56,0085923369404
"339";"MO17";"date 2";"5A";28;"27";52,6751217824731
"340";"MO17";"date 2";"8B";56;"27";42,1954150361506
"341";"MO17";"date 2";"3";14;"27";53,1580621610962
"342";"MO17";"date 2";"6A";35;"27";55,1752487300383
"343";"MO17";"date 2";"8A";56;"27";49,1993410776402
"344";"MO17";"date 2";"2";4;"27";56,8279593025561
"345";"MO17";"date 2";"1";0;"27";58,161947575999
"346";"MO17";"date 2";"4";21;"27";53,3459307077936
"347";"MO17";"date 2";"5B";28;"27";53,184317010408
"348";"MO17";"date 2";"7A";45;"27";53,9897468539841
"349";"MO17";"date 3";"7B";45;"41";54,9581081018515
"350";"MO17";"date 3";"6B";35;"41";55,5030642082982
"351";"MO17";"date 3";"5A";28;"41";55,9965528520781
"352";"MO17";"date 3";"8B";56;"41";51,1575369291533
"353";"MO17";"date 3";"3";14;"41";53,3775496747658
"354";"MO17";"date 3";"6A";35;"41";55,7071767996028
"355";"MO17";"date 3";"8A";56;"41";54,8833496490507
"356";"MO17";"date 3";"2";4;"41";62,8904640407837
"357";"MO17";"date 3";"1";0;"41";60,5441999596648
"358";"MO17";"date 3";"4";21;"41";54,8793747132678
"359";"MO17";"date 3";"5B";28;"41";56,3639073357664
"360";"MO17";"date 3";"7A";45;"41";56,1848506677256
"361";"G18-M40";"date 1";"7B";45;"10";55,9745292375825
"362";"G18-M40";"date 1";"6B";35;"10";53,7100465633229
"363";"G18-M40";"date 1";"5A";28;"10";52,7862662733227
"364";"G18-M40";"date 1";"8B";56;"10";54,7564932256632
"365";"G18-M40";"date 1";"3";14;"10";54,3636921518464
"366";"G18-M40";"date 1";"6A";35;"10";53,9102584024494
"367";"G18-M40";"date 1";"8A";56;"10";49,6595768024477
"368";"G18-M40";"date 1";"2";4;"10";57,2980694953237
"369";"G18-M40";"date 1";"1";0;"10";56,9037320426952
"370";"G18-M40";"date 1";"4";21;"10";54,711969488635
"371";"G18-M40";"date 1";"5B";28;"10";53,4974934711297
"372";"G18-M40";"date 1";"7A";45;"10";57,8331303007168
"373";"G18-M40";"date 2";"7B";45;"24";52,0692104239094
"374";"G18-M40";"date 2";"6B";35;"24";58,0395705464995
"375";"G18-M40";"date 2";"5A";28;"24";54,0463739854974
"376";"G18-M40";"date 2";"8B";56;"24";51,4799493872315
"377";"G18-M40";"date 2";"3";14;"24";56,7045360411077
"378";"G18-M40";"date 2";"6A";35;"24";55,9941658233442
"379";"G18-M40";"date 2";"8A";56;"24";51,7050633067749
